PID,MS SubClass,Lot Frontage,Lot Area,Lot Shape,Land Contour,Neighborhood,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Total Bsmt SF,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Mo Sold,Yr Sold,SalePrice
1659,30,90,8100,Reg,Lvl,OldTown,1Fam,5,6,1948,1973,1559,Y,1559,0,1559,1,5,0,2,812,6,2007,153500
677,20,49,15256,IR1,Lvl,Somerst,1Fam,8,5,2007,2007,1485,Y,1464,0,1464,2,6,0,3,754,8,2007,282922
1976,20,82,20270,IR1,Lvl,ClearCr,1Fam,7,6,1979,1979,1524,Y,1524,0,1524,2,7,2,2,478,4,2008,245000
42,60,50,13128,IR1,HLS,Gilbert,1Fam,8,5,2005,2005,1074,Y,1074,990,2064,2,7,1,2,527,1,2006,250000
1442,20,60,7200,Reg,Lvl,NAmes,1Fam,5,7,1950,1950,876,Y,988,0,988,1,6,0,1,276,5,2007,119000
1782,70,57,8094,Reg,Lvl,OldTown,1Fam,6,6,1915,1950,1048,Y,1048,720,1768,2,8,0,2,576,6,2009,155000
2389,85,75,9825,Reg,Low,Edwards,1Fam,5,5,1967,1967,936,Y,936,0,936,1,4,1,1,384,8,2007,118500
1657,70,60,11340,Reg,Lvl,OldTown,1Fam,2,1,1920,1950,723,N,723,363,1086,1,5,0,2,400,11,2008,55000
401,60,82,9709,IR1,Lvl,NridgHt,1Fam,8,5,2007,2007,918,Y,958,1142,2100,2,8,2,3,786,9,2007,319500
2571,50,66,21780,Reg,Lvl,Crawfor,1Fam,6,5,1920,1950,817,Y,940,610,1550,1,7,1,1,318,9,2006,195000
364,20,108,12228,Reg,Lvl,NridgHt,1Fam,7,5,2006,2006,1721,Y,1740,0,1740,2,8,0,3,874,9,2006,293000
2667,50,50,9140,Reg,HLS,IDOTRR,1Fam,6,5,1921,1975,629,Y,727,380,1107,1,5,0,1,625,4,2010,110000
130,190,100,34650,Reg,Bnk,Gilbert,2fmCon,5,5,1955,1955,1056,N,1056,0,1056,1,5,0,2,572,1,2006,145000
342,60,110,13440,Reg,Lvl,NridgHt,1Fam,8,5,2006,2007,1108,Y,1148,1402,2550,2,11,1,3,670,3,2007,338931
2620,20,100,17500,Reg,Lvl,Crawfor,1Fam,7,8,1959,2002,1902,Y,1902,0,1902,2,7,2,2,567,5,2010,335000
1438,50,60,8064,Reg,Lvl,NAmes,1Fam,6,8,1948,2004,816,Y,816,408,1224,1,5,0,1,280,5,2010,132000
1736,50,52,6240,Reg,Lvl,BrkSide,1Fam,5,7,1930,1992,1078,Y,1128,445,1573,2,8,1,2,360,6,2008,162900
2040,20,58,9280,Reg,Lvl,Edwards,1Fam,5,6,1951,1951,1342,Y,1342,0,1342,1,7,0,1,256,4,2007,125000
2905,20,76,8314,Reg,Lvl,Mitchel,1Fam,5,7,1982,1982,816,Y,816,0,816,1,5,0,1,264,6,2007,124500
970,160,24,2645,Reg,Lvl,Somerst,Twnhs,8,5,1999,2000,970,Y,983,756,1739,2,7,0,2,480,8,2009,172500
237,20,61,7930,Reg,Lvl,NAmes,1Fam,6,8,1969,2005,1026,Y,1026,0,1026,1,5,0,2,440,7,2009,156000
1824,190,60,10120,IR1,Bnk,OldTown,2fmCon,7,4,1910,1950,925,N,964,925,1889,1,9,1,1,308,1,2007,122000
2892,20,80,17400,Reg,Low,Mitchel,1Fam,5,5,1977,1977,1126,Y,1126,0,1126,2,5,1,2,484,5,2006,160000
1416,20,60,7332,Reg,Lvl,NAmes,1Fam,6,6,1959,1959,864,Y,864,0,864,1,4,0,1,288,10,2006,120000
795,20,65,7441,IR1,Lvl,SawyerW,1Fam,7,5,2006,2006,1461,Y,1486,0,1486,2,7,0,2,566,6,2007,181000
2577,70,74,11988,IR1,HLS,Crawfor,1Fam,6,7,1934,1995,715,Y,849,811,1660,1,6,1,1,240,8,2008,188700
1794,90,110,8472,IR2,Bnk,IDOTRR,Duplex,5,5,1963,1963,816,N,816,0,816,1,5,0,2,516,5,2010,110000
844,20,70,9100,Reg,Lvl,Sawyer,1Fam,5,5,1963,1963,984,Y,984,0,984,1,5,1,1,384,8,2008,128000
560,60,62,7984,IR1,Lvl,Gilbert,1Fam,7,5,2004,2005,868,Y,868,762,1630,2,7,1,2,436,9,2009,189500
1386,50,60,10836,Reg,Lvl,OldTown,1Fam,5,5,1922,1950,892,Y,1254,182,1436,1,7,1,4,1488,6,2008,139000
1563,70,42,7614,Reg,Lvl,OldTown,1Fam,3,5,1905,1950,738,Y,714,662,1376,1,7,0,1,216,3,2006,96900
464,120,34,4590,Reg,Lvl,NridgHt,Twnhs,8,5,2006,2006,1554,Y,1554,0,1554,2,6,1,2,627,5,2007,209500
1256,80,70,8163,Reg,Lvl,NAmes,1Fam,5,6,1959,1959,1144,Y,1144,0,1144,1,6,1,1,796,3,2006,143000
207,60,75,8004,IR1,Lvl,Somerst,1Fam,8,5,2009,2009,832,Y,832,1103,1935,2,8,0,2,552,12,2009,263435
2431,60,313,63887,IR3,Bnk,Edwards,1Fam,10,5,2008,2008,6110,Y,4692,950,5642,2,12,3,2,1418,1,2008,160000
2003,70,114,19950,Reg,Lvl,Edwards,1Fam,6,7,1928,1950,672,Y,1337,672,2009,2,8,2,3,795,12,2006,235000
2847,180,21,1974,Reg,Lvl,MeadowV,Twnhs,4,7,1973,2006,526,Y,526,462,988,1,5,0,1,297,6,2008,105000
2204,60,57,8924,IR1,Lvl,CollgCr,1Fam,7,5,1998,1999,880,Y,880,844,1724,2,8,0,2,527,7,2008,188000
725,60,75,9000,Reg,Lvl,Somerst,1Fam,8,5,2006,2006,1088,Y,1088,871,1959,2,8,1,3,1025,12,2007,270000
1365,50,60,10134,Reg,Lvl,OldTown,1Fam,5,6,1940,1950,735,Y,735,299,1034,1,5,0,1,240,7,2007,109000
2348,60,74,8581,IR1,Lvl,CollgCr,1Fam,7,5,2006,2006,851,Y,851,886,1737,2,7,0,2,578,8,2006,203160
2105,20,66,10235,IR1,Lvl,CollgCr,1Fam,8,5,2007,2007,1643,Y,1651,0,1651,2,7,1,3,870,9,2007,246500
2370,20,64,8334,Reg,Lvl,CollgCr,1Fam,6,5,2006,2007,1330,Y,1330,0,1330,2,6,1,2,437,7,2007,167840
2110,60,133,11003,IR2,Lvl,CollgCr,1Fam,7,5,2005,2006,1308,Y,1308,568,1876,2,7,0,3,848,7,2006,229800
310,120,24,2529,Reg,Lvl,NPkVill,Twnhs,7,6,1977,1977,1055,Y,1055,0,1055,2,4,0,2,440,9,2008,148500
1302,20,60,11556,Reg,Lvl,NAmes,1Fam,5,6,1952,1952,720,Y,882,0,882,1,4,0,1,240,5,2008,116000
714,20,75,9000,Reg,Lvl,Somerst,1Fam,7,5,2006,2007,1335,Y,1335,0,1335,2,6,0,2,575,6,2007,210400
2634,120,35,3907,IR1,Bnk,Blueste,TwnhsE,8,5,1988,1988,1004,Y,1020,0,1020,1,4,0,2,509,3,2007,200000
2212,20,67,9808,IR1,Lvl,CollgCr,1Fam,7,5,2002,2002,1573,Y,1573,0,1573,2,6,0,2,544,3,2009,227000
2632,120,35,3907,IR1,HLS,Blueste,TwnhsE,8,6,1989,1989,982,Y,1034,0,1034,1,4,1,2,598,4,2010,185000
854,80,88,8471,IR1,Lvl,Sawyer,1Fam,6,7,1977,1995,506,Y,1212,0,1212,1,6,1,2,492,7,2006,151000
514,20,64,7697,Reg,Lvl,Gilbert,1Fam,7,6,2007,2007,1246,Y,1258,0,1258,2,6,0,2,462,8,2007,173500
1131,80,80,9200,Reg,Lvl,NAmes,1Fam,6,5,1965,1965,1042,Y,1042,0,1042,2,5,0,2,440,5,2007,161000
2508,75,60,8400,Reg,Bnk,SWISU,1Fam,5,8,1939,1997,720,Y,1052,720,2192,2,8,1,1,240,7,2008,179500
690,60,80,9428,Reg,Lvl,Somerst,1Fam,8,5,2007,2008,955,Y,955,919,1874,2,8,1,3,880,2,2008,297900
2776,20,54,13811,IR1,Lvl,Timber,1Fam,6,6,1987,1987,1112,Y,1137,0,1137,2,5,1,2,551,7,2006,176000
334,20,110,14333,Reg,Lvl,NridgHt,1Fam,8,5,2007,2007,2108,Y,2122,0,2122,2,7,1,3,938,11,2007,345474
1859,20,50,5500,Reg,Lvl,SWISU,1Fam,7,5,2004,2004,1073,Y,1073,0,1073,2,4,0,1,246,5,2006,157000
1432,40,60,12144,Reg,Lvl,NAmes,1Fam,5,7,1949,1950,832,Y,1036,0,1268,1,6,1,1,288,9,2009,133000
1774,190,60,9873,Reg,Lvl,BrkSide,2fmCon,4,5,1970,1970,960,N,960,0,960,1,6,0,2,576,5,2006,129000
596,60,42,8433,IR1,Lvl,Gilbert,1Fam,6,5,2000,2000,794,Y,819,695,1514,2,7,1,2,394,6,2009,190000
2134,20,78,11645,Reg,Lvl,CollgCr,1Fam,8,5,2005,2006,1570,Y,1590,0,1590,2,6,0,3,754,8,2006,294900
1247,20,73,8760,Reg,Lvl,NAmes,1Fam,5,7,1956,1956,1169,Y,1144,0,1144,1,6,0,1,286,6,2009,150000
2087,90,64,7007,Reg,Bnk,SawyerW,Duplex,5,5,1979,1979,0,Y,1513,0,1513,2,8,0,2,400,6,2009,113722
1345,20,60,7626,Reg,Lvl,NAmes,1Fam,5,8,1952,2005,1031,Y,1031,0,1031,1,5,0,1,230,3,2009,145500
1454,80,70,7910,Reg,Lvl,NAmes,1Fam,5,5,1960,1960,1075,Y,1507,0,1507,2,7,0,1,404,8,2008,127000
1528,30,60,4800,Reg,Lvl,OldTown,1Fam,5,4,1940,1950,672,Y,672,0,672,1,4,0,1,256,8,2008,64000
2472,20,68,9520,Reg,Bnk,Edwards,1Fam,4,5,1953,1953,911,Y,930,0,930,1,5,0,1,286,5,2008,99000
1588,50,56,9576,Reg,Lvl,OldTown,1Fam,6,7,1945,1950,770,Y,885,297,1182,1,5,0,1,378,5,2006,120000
2693,70,60,9000,Reg,Bnk,IDOTRR,1Fam,4,6,1920,1950,592,Y,432,432,864,1,5,0,1,216,6,2008,65000
1611,50,50,3500,Reg,Lvl,OldTown,1Fam,5,7,1947,1950,720,Y,720,564,1284,1,5,0,1,240,4,2009,110000
1497,20,69,7590,Reg,Lvl,NAmes,1Fam,5,5,1963,1963,1117,Y,1117,0,1117,1,6,0,1,264,5,2008,136870
1125,20,85,9350,Reg,Lvl,NAmes,1Fam,5,6,1961,1995,1313,Y,1313,0,1313,1,6,1,2,610,2,2009,153000
1206,20,80,9600,Reg,Lvl,NAmes,1Fam,5,7,1950,2007,1113,Y,1113,0,1113,1,5,1,1,264,7,2009,147000
2586,30,80,11600,Reg,Lvl,Crawfor,1Fam,4,5,1922,1950,700,Y,1180,0,1180,1,5,1,1,252,7,2006,137500
1055,20,88,10738,IR1,Lvl,NWAmes,1Fam,6,7,1966,1966,1093,Y,1093,0,1093,2,6,1,2,484,11,2007,158500
700,20,76,9139,IR1,Lvl,Somerst,1Fam,8,5,2006,2006,1422,Y,1432,0,1432,2,7,1,2,492,9,2009,245000
2800,60,85,14191,Reg,Lvl,Timber,1Fam,8,5,2002,2002,967,Y,993,915,1908,2,9,0,2,431,4,2010,202900
2117,20,64,6762,Reg,Lvl,CollgCr,1Fam,7,5,2006,2006,1286,Y,1294,0,1294,2,6,1,2,662,7,2006,193879
1718,190,65,7800,Reg,Lvl,OldTown,2fmCon,5,7,1939,1950,793,Y,793,325,1118,1,5,1,2,410,5,2006,119900
2851,160,36,2592,Reg,Lvl,MeadowV,TwnhsE,5,3,1976,1976,536,Y,536,576,1112,1,4,0,1,336,4,2010,85000
1371,30,60,5400,Reg,Lvl,OldTown,1Fam,5,6,1921,1968,1073,Y,1073,0,1073,1,4,0,1,326,12,2006,108480
1440,50,78,10496,Reg,Lvl,NAmes,1Fam,6,6,1949,1950,1040,Y,1168,678,1846,2,7,1,1,315,1,2007,143000
753,20,100,11824,IR1,Lvl,Somerst,1Fam,8,5,2006,2006,1685,Y,1685,0,1685,2,5,1,3,658,4,2007,253000
483,160,36,2628,Reg,Lvl,NridgHt,Twnhs,7,5,2003,2003,764,Y,764,862,1626,2,6,0,2,474,6,2010,175500
1463,20,70,7903,Reg,Lvl,NAmes,1Fam,5,5,1960,1960,1242,Y,1242,0,1242,1,6,0,1,324,5,2007,152000
915,120,80,3523,IR1,Lvl,Somerst,TwnhsE,8,5,2006,2007,1141,Y,1151,0,1151,2,5,0,2,484,2,2007,166000
1152,20,80,9600,Reg,Lvl,NAmes,1Fam,5,6,1959,1959,1041,Y,1041,0,1041,1,6,0,1,270,7,2009,124500
1965,85,72,10820,Reg,Lvl,Sawyer,1Fam,5,7,1971,1972,782,Y,810,0,810,1,4,0,2,576,6,2006,130000
825,120,50,7175,Reg,Lvl,SawyerW,TwnhsE,6,5,1984,1984,744,Y,752,0,752,1,4,0,1,264,2,2010,125000
943,160,24,2280,Reg,Lvl,Somerst,Twnhs,7,5,1999,1999,744,Y,757,744,1501,2,6,0,2,440,8,2008,179400
281,160,21,1680,Reg,Lvl,BrDale,Twnhs,6,5,1971,1971,483,Y,483,504,987,1,4,0,1,264,7,2008,85400
715,20,75,7862,IR1,Lvl,Somerst,1Fam,6,5,2009,2009,1218,Y,1218,0,1218,2,4,0,2,676,9,2009,208300
2612,20,80,14000,Reg,Lvl,Crawfor,1Fam,6,8,1950,2004,1092,Y,1152,0,1152,1,6,1,1,300,8,2009,158500
2898,20,69,7599,Reg,Lvl,Mitchel,1Fam,4,6,1982,2006,845,Y,845,0,845,1,4,0,2,360,6,2007,129500
191,60,75,9743,Reg,Lvl,NWAmes,1Fam,5,6,1969,1969,720,Y,720,588,1308,1,7,0,2,484,6,2008,146900
21,60,78,9978,IR1,Lvl,Gilbert,1Fam,6,6,1998,1998,926,Y,926,678,1604,2,7,1,2,470,6,2010,195500
1073,20,72,8872,Reg,Lvl,NAmes,1Fam,5,8,1965,2008,912,Y,912,0,912,1,5,0,2,576,12,2008,147000
2339,20,70,8810,Reg,Lvl,CollgCr,1Fam,7,5,2003,2003,1390,Y,1390,0,1390,2,7,0,2,545,3,2006,207000
374,60,108,13418,Reg,Lvl,NridgHt,1Fam,8,5,2004,2005,1117,Y,1132,1320,2452,3,9,1,3,691,9,2006,309000
1658,70,60,10560,Reg,Lvl,OldTown,1Fam,6,7,1922,1994,738,Y,868,602,1470,1,6,0,2,624,6,2010,140750
1937,80,88,15312,Reg,Lvl,Sawyer,1Fam,6,5,1960,1960,1138,Y,1138,0,1138,1,6,1,2,480,3,2009,148000
434,20,92,10845,IR1,Lvl,NridgHt,1Fam,8,5,2003,2004,1603,Y,1575,0,1575,2,7,1,3,732,6,2008,284000
667,20,74,9612,Reg,Lvl,Somerst,1Fam,8,5,2008,2009,1468,Y,1468,0,1468,2,6,1,3,898,12,2009,244600
2303,60,66,16226,IR3,Lvl,CollgCr,1Fam,8,5,1998,1999,1028,Y,1210,1242,2452,2,9,1,2,683,5,2007,267000
1362,20,53,5470,Reg,Lvl,OldTown,1Fam,3,5,1958,1958,792,Y,792,0,792,1,4,0,1,366,8,2009,99900
1679,30,55,7111,IR1,Bnk,BrkSide,1Fam,5,7,1928,1983,1008,Y,1143,0,1143,1,5,1,1,288,7,2008,138000
1809,50,60,7200,Reg,Lvl,IDOTRR,1Fam,5,6,1938,1995,803,Y,803,557,1360,1,6,0,1,297,7,2006,125500
2542,70,63,15576,Reg,Lvl,Crawfor,1Fam,6,7,1915,1976,840,Y,840,840,1680,2,8,0,1,308,3,2008,177000
1628,75,70,6300,Reg,Lvl,OldTown,1Fam,7,6,1910,2005,1226,Y,1226,878,2104,2,9,0,2,432,7,2006,155000
56,120,45,6264,IR1,Lvl,StoneBr,1Fam,8,5,1997,1997,1664,Y,1682,0,1682,1,6,1,2,528,7,2008,247900
1385,50,60,10818,Reg,Lvl,OldTown,1Fam,4,4,1910,1950,1077,Y,981,779,1760,1,7,1,2,648,2,2006,80000
7,20,80,11622,Reg,Lvl,NAmes,1Fam,5,6,1961,1961,882,Y,896,0,896,1,5,0,1,730,6,2010,105000
325,20,96,12456,Reg,Lvl,NridgHt,1Fam,10,5,2006,2007,1700,Y,1718,0,1718,2,7,1,3,786,7,2009,337500
163,60,92,11952,Reg,Lvl,NWAmes,1Fam,7,6,1977,1977,808,Y,1161,808,1969,2,8,1,2,534,11,2007,190000
9,20,87,11029,IR1,Lvl,NAmes,1Fam,6,8,1958,2002,1184,Y,1414,0,1414,1,6,1,2,601,5,2008,176500
2295,60,65,8158,Reg,Lvl,CollgCr,1Fam,7,5,2003,2003,884,Y,884,884,1768,2,8,0,2,543,7,2008,224900
614,60,160,15623,IR1,Lvl,NoRidge,1Fam,10,5,1996,1996,2396,Y,2411,2065,4476,3,10,2,3,813,7,2007,745000
961,160,35,3735,Reg,Lvl,Somerst,TwnhsE,7,5,1999,1999,691,Y,713,739,1452,2,6,0,2,506,3,2006,183900
37,80,60,8400,Reg,Lvl,Gilbert,1Fam,7,5,1996,1997,384,Y,958,670,1628,2,7,1,2,390,6,2009,189000
657,60,92,11764,IR1,Lvl,NoRidge,1Fam,8,7,1999,2007,1152,Y,1164,1106,2270,2,9,1,3,671,4,2010,290000
419,20,106,12720,Reg,HLS,NridgHt,1Fam,10,5,2003,2003,2535,Y,2470,0,2470,1,7,2,3,789,2,2008,615000
1627,75,90,8100,Reg,Lvl,OldTown,1Fam,5,5,1898,1965,849,N,1075,1063,2138,2,11,0,2,360,11,2009,106000
95,60,63,8402,IR1,Lvl,Gilbert,1Fam,6,5,1998,1998,789,Y,789,676,1465,2,7,1,2,393,5,2010,180400
900,60,105,11025,Reg,HLS,NoRidge,1Fam,8,5,1992,1993,1334,Y,1520,1306,2826,2,9,3,3,888,10,2006,334000
1342,20,75,14559,Reg,Lvl,NAmes,1Fam,5,7,1951,2000,1008,Y,1363,0,1363,1,6,2,1,288,6,2009,164900
1878,20,70,8414,Reg,Lvl,Sawyer,1Fam,6,8,1963,2003,1059,Y,1068,0,1068,1,6,0,1,264,2,2006,154500
257,20,60,9000,Reg,Lvl,NAmes,1Fam,4,6,1971,1971,864,Y,864,0,864,1,5,0,2,528,5,2007,120500
382,20,87,11146,IR1,Lvl,NridgHt,1Fam,8,5,2006,2006,1709,Y,1717,0,1717,2,7,1,3,908,7,2009,255500
2515,50,60,10890,Reg,Lvl,SWISU,1Fam,5,5,1938,1950,1058,Y,1058,493,1551,2,6,0,1,240,7,2006,137000
2482,50,59,16466,IR1,Lvl,Edwards,1Fam,5,7,1955,1955,816,Y,872,521,1393,1,8,0,1,300,4,2008,135500
1957,50,70,6960,Reg,Lvl,Sawyer,1Fam,7,8,1940,1998,680,Y,798,504,1302,1,6,2,1,224,7,2007,165250
357,20,107,13891,Reg,Lvl,NridgHt,1Fam,9,5,2007,2007,2552,Y,2552,0,2552,2,8,2,3,932,10,2007,479069
1877,90,72,10791,Reg,Lvl,Sawyer,Duplex,4,5,1967,1967,0,Y,1296,0,1296,2,6,0,2,516,10,2006,90000
789,20,66,13695,Reg,Lvl,SawyerW,1Fam,6,5,2003,2004,1114,Y,1114,0,1114,1,6,0,2,576,7,2008,155000
2367,60,68,8846,Reg,Lvl,CollgCr,1Fam,6,5,2005,2006,750,Y,750,750,1500,2,6,0,2,564,8,2006,173900
20,60,74,13830,IR1,Lvl,Gilbert,1Fam,5,5,1997,1998,928,Y,928,701,1629,2,6,1,2,482,3,2010,189900
2743,20,150,215245,IR3,Low,Timber,1Fam,7,5,1965,1965,2136,Y,2036,0,2036,2,8,2,2,513,6,2009,375000
1881,190,75,11625,Reg,Lvl,Sawyer,2fmCon,5,4,1965,1965,1039,Y,1039,0,1039,1,6,0,2,504,4,2010,131500
412,20,94,13615,IR1,HLS,NridgHt,1Fam,9,5,2006,2006,1802,Y,1802,0,1802,2,7,1,3,843,6,2007,372000
2714,50,48,12822,IR1,Lvl,Mitchel,1Fam,7,5,2003,2003,1434,Y,1518,631,2149,1,6,1,2,670,8,2009,239686
946,160,34,3230,Reg,Lvl,Somerst,TwnhsE,6,5,1999,1999,729,Y,729,729,1458,2,5,1,2,440,6,2007,176000
809,60,65,8450,Reg,Lvl,SawyerW,1Fam,6,5,2001,2001,827,Y,827,850,1677,2,7,0,2,627,9,2008,190500
1141,60,80,8800,Reg,Lvl,NAmes,1Fam,6,7,1964,1997,845,Y,845,1309,2154,2,8,1,2,539,7,2007,224500
243,20,66,7920,Reg,Lvl,NAmes,1Fam,5,5,1970,2002,914,Y,914,0,914,1,5,0,1,368,10,2007,133000
774,20,91,11024,IR1,Lvl,SawyerW,1Fam,7,5,2005,2006,1400,Y,1400,0,1400,2,6,0,2,612,10,2006,186800
1212,20,82,9888,Reg,Lvl,NAmes,1Fam,5,6,1954,1975,936,Y,936,0,936,1,5,0,1,240,3,2006,121000
1123,20,100,10175,IR1,Lvl,NAmes,1Fam,6,5,1964,1964,1425,Y,1425,0,1425,2,7,1,2,576,7,2008,180500
630,60,98,12203,IR1,Lvl,NoRidge,1Fam,8,5,1998,1999,1225,Y,1276,1336,2612,2,8,1,3,676,7,2009,336000
769,20,63,7500,Reg,Lvl,SawyerW,1Fam,7,5,2006,2006,1141,Y,1141,0,1141,1,6,0,2,484,6,2009,152000
1366,20,60,10122,Reg,Lvl,OldTown,1Fam,4,6,1948,1950,0,N,869,0,869,1,3,0,1,390,8,2008,89900
1925,85,74,8740,IR1,Lvl,Sawyer,1Fam,5,6,1982,1982,840,Y,860,0,860,1,4,0,2,528,7,2009,137000
2297,60,41,10905,IR2,Lvl,CollgCr,1Fam,7,5,2003,2003,1129,Y,1129,1198,2327,2,9,1,2,596,8,2008,240000
2253,20,68,7480,Reg,Lvl,CollgCr,1Fam,5,6,1972,1972,876,Y,876,0,876,1,5,0,2,484,6,2010,127000
1501,85,69,10205,IR1,Lvl,NAmes,1Fam,5,5,1962,1962,925,Y,999,0,999,1,6,0,1,300,5,2006,134500
2255,20,120,10356,Reg,Lvl,CollgCr,1Fam,5,6,1975,1975,969,Y,969,0,969,1,5,0,2,440,1,2007,122000
1329,50,55,7150,Reg,Lvl,NAmes,1Fam,4,4,1955,1955,1190,Y,1040,500,1540,1,7,0,1,352,8,2007,115000
1353,60,78,11419,Reg,Lvl,NAmes,1Fam,7,7,1948,1999,699,Y,801,726,1527,1,6,1,2,410,12,2009,152500
1617,50,56,8398,Reg,Lvl,OldTown,1Fam,6,8,1910,1990,926,Y,991,659,1650,2,6,0,2,468,11,2007,144100
1138,80,82,9020,Reg,Lvl,NAmes,1Fam,6,5,1964,1964,1248,Y,1350,0,1350,1,6,0,2,520,6,2008,168500
1616,190,85,13600,Reg,Lvl,OldTown,2fmCon,5,5,1900,1950,662,N,1422,915,2337,2,10,0,2,560,9,2007,90000
615,60,118,35760,IR1,Lvl,NoRidge,1Fam,10,5,1995,1996,1930,Y,1831,1796,3627,3,10,1,3,807,7,2006,625000
328,20,90,11694,Reg,Lvl,NridgHt,1Fam,9,5,2007,2007,1822,Y,1828,0,1828,2,9,1,3,774,7,2007,314813
2534,30,54,7223,Reg,Lvl,Crawfor,1Fam,5,5,1926,1950,1290,Y,1422,0,1422,1,6,0,1,352,4,2007,136500
