ID,Lake,Alkalinity,pH,Calcium,Chlorophyll,AvgMercury,NumSamples,MinMercury,MaxMercury,ThreeYrStdMercury,AgeData,Location,MaxDepth,AvgDepth,SurfaceArea,Depth
1,Alligator,5.9,6.1,3,0.7,1.23,5,0.85,1.43,1.53,1,S,28,4.9,3552,Medium
2,Annie,3.5,5.1,1.9,3.2,1.33,7,0.92,1.9,1.33,0,S,66,17,407,Deep
3,Apopka,116,9.1,44.1,128.3,0.04,6,0.04,0.06,0.04,0,N,18,5.4,30803,Medium
4,Blue Cypress,39.4,6.9,16.4,3.5,0.44,12,0.13,0.84,0.44,0,S,10,8,6555,Shallow
5,Brick,2.5,4.6,2.9,1.8,1.2,12,0.69,1.5,1.33,1,S,22,9.8,641,Medium
6,Bryant,19.6,7.3,4.5,44.1,0.27,14,0.04,0.48,0.25,1,N,9,6,773,Shallow
7,Cherry,5.2,5.4,2.8,3.4,0.48,10,0.3,0.72,0.45,1,N,14,,479,Shallow
8,Crescent,71.4,8.1,55.2,33.7,0.19,12,0.08,0.38,0.16,1,N,5,10,15960,Shallow
9,Deer Point,26.4,5.8,9.2,1.6,0.83,24,0.26,1.4,0.72,1,N,20,7.5,4700,Medium
10,Dias,4.8,6.4,4.6,22.5,0.81,12,0.41,1.47,0.81,1,N,35,6,711,Deep
11,Dorr,6.6,5.4,2.7,14.9,0.71,12,0.52,0.86,0.71,1,N,22,10,1722,Medium
12,Down,16.5,7.2,13.8,4,0.5,12,0.1,0.73,0.51,1,S,32,20,885,Deep
13,Eaton,25.4,7.2,25.2,11.6,0.49,7,0.26,1.01,0.54,1,N,5,,308,Shallow
14,East Tohopekaliga,7.1,5.8,5.2,5.8,1.16,43,0.5,2.03,1,1,S,18,12,22700,Medium
15,Farm-13,128,7.6,86.5,71.1,0.05,11,0.04,0.11,0.05,0,N,13,6,6500,Shallow
16,George,83.7,8.2,66.5,78.6,0.15,10,0.12,0.18,0.15,1,N,12,8,46000,Shallow
17,Griffin,108.5,8.7,35.6,80.1,0.19,40,0.07,0.43,0.19,1,N,18,10,9428,Medium
18,Harney,61.3,7.8,57.4,13.9,0.77,6,0.32,1.5,0.49,1,N,13,7.3,6202,Shallow
19,Hart,6.4,5.8,4,4.6,1.08,10,0.64,1.33,1.02,1,S,20,10,1075,Medium
20,Hatchineha,31,6.7,15,17,0.98,6,0.67,1.44,0.7,1,S,8,3,6665,Shallow
21,Iamonia,7.5,4.4,2,9.6,0.63,12,0.33,0.93,0.45,1,N,40,7,5757,Deep
22,Istokpoga,17.3,6.7,10.7,9.5,0.56,12,0.37,0.94,0.59,1,S,10,4,26762,Shallow
23,Jackson,12.6,6.1,3.7,21,0.41,12,0.25,0.61,0.41,0,N,30,7,3412,Deep
24,Josephine,7,6.9,6.3,32.1,0.73,12,0.33,2.04,0.81,1,S,7.5,7,1249,Shallow
25,Kingsley,10.5,5.5,6.3,1.6,0.34,10,0.25,0.62,0.42,1,N,90,40,2000,Deep
26,Kissimmee,30,6.9,13.9,21.5,0.59,36,0.23,1.12,0.53,1,S,12,5,34950,Shallow
27,Lochloosa,55.4,7.3,15.9,24.7,0.34,10,0.17,0.52,0.31,1,N,10,6.9,5809,Shallow
28,Louisa,3.9,4.5,3.3,7,0.84,8,0.59,1.38,0.87,1,S,19,12,3167,Medium
29,Miccasukee,5.5,4.8,1.7,14.8,0.5,11,0.31,0.84,0.5,0,N,17,,6257,Medium
30,Minneola,6.3,5.8,3.3,0.7,0.34,10,0.19,0.69,0.47,1,N,25,18,1907,Medium
31,Monroe,67,7.8,58.6,43.8,0.28,10,0.16,0.59,0.25,1,N,16,7,9406,Medium
32,Newmans,28.8,7.4,10.2,32.7,0.34,10,0.16,0.65,0.41,1,N,12,4.9,7200,Shallow
33,Ocean Pond,5.8,3.6,1.6,3.2,0.87,12,0.31,1.9,0.87,0,N,40,,1760,Deep
34,Ocheese Pond,4.5,4.4,1.1,3.2,0.56,13,0.25,1.02,0.56,0,N,40,,4330,Deep
35,Okeechobee,119.1,7.9,38.4,16.1,0.17,12,0.07,0.3,0.16,1,S,12,10,730,Shallow
36,Orange,25.4,7.1,8.8,45.2,0.18,13,0.09,0.29,0.16,1,N,12,5.5,12550,Shallow
37,Panasoffkee,106.5,6.8,90.7,16.5,0.19,13,0.05,0.37,0.23,1,N,10,7,3258,Shallow
38,Parker,53,8.4,45.6,152.4,0.04,4,0.04,0.06,0.04,0,S,25,5,2108,Medium
39,Placid,8.5,7,2.5,12.8,0.49,12,0.31,0.63,0.56,1,S,57,9,3406,Deep
40,Puzzle,87.6,7.5,85.5,20.1,1.1,10,0.79,1.41,0.89,1,N,10,5,1300,Shallow
41,Rodman,114,7,72.6,6.4,0.16,14,0.04,0.26,0.18,1,N,30,6.6,9500,Deep
42,Rousseau,97.5,6.8,45.5,6.2,0.1,12,0.05,0.26,0.19,1,N,26,10,3700,Medium
43,Sampson,11.8,5.9,24.2,1.6,0.48,10,0.27,1.05,0.44,1,N,33,7.2,1987,Deep
44,Shipp,66.5,8.3,26,68.2,0.21,12,0.05,0.48,0.16,1,S,14,4,269,Shallow
45,Talquin,16,6.7,41.2,24.1,0.86,12,0.36,1.4,0.67,1,N,40,15,8850,Deep
46,Tarpon,5,6.2,23.6,9.6,0.52,12,0.31,0.95,0.55,1,S,14,4,2534,Shallow
47,Trafford,81.5,8.9,20.5,9.6,0.27,6,0.04,0.4,0.27,0,S,8.5,7,1500,Shallow
48,Trout,1.2,4.3,2.1,6.4,0.94,10,0.59,1.24,0.98,1,S,30,,148,Deep
49,Tsala Apopka,34,7,13.1,4.6,0.4,12,0.08,0.9,0.31,1,N,11,,9690,Shallow
50,Weir,15.5,6.9,5.2,16.5,0.43,11,0.23,0.69,0.43,1,N,34,15,5685,Deep
51,Tohopekaliga,25.6,6.2,12.6,27.7,0.65,44,0.3,1.1,0.58,1,S,18,12,22700,Medium
52,Wildcat,17.3,5.2,3,2.6,0.25,12,0.15,0.4,0.28,1,N,70,14.8,467,Deep
53,Yale,71.8,7.9,20.5,8.8,0.27,12,0.15,0.51,0.25,1,N,25,12,4020,Medium