"","ID","price","sqft_living","waterfront","condition","date_sold","bedrooms","bathrooms","sqft_lot","floors","view","sqft_above","sqft_basement","yr_built","year_renovated","zip_code","lattitude","longitude","nn_sqft_living","nn_sqft_lot"
"1",90,335,1030,"No","average or below",2014-09-04,2,1.75,1066,2,0,765,265,2006,2006,"98136",47.5394,-122.387,1030,1106
"2",126,1450,2750,"No","average or below",2015-03-02,4,2.75,17789,1.5,0,1980,770,1914,1992,"98004",47.6141,-122.212,3060,11275
"3",300,267.5,1590,"No","average or below",2014-05-29,3,1.75,11914,1,2,1090,500,1957,1957,"98188",47.4427,-122.274,1630,9052
"4",541,2125,5403,"Yes","good",2015-02-18,3,2.5,24069,2,4,5403,0,1976,1976,"98166",47.4169,-122.348,3980,104374
"5",932,545,2520,"No","average or below",2015-03-05,5,2.5,7863,1,0,1500,1020,1981,1981,"98034",47.7096,-122.199,2030,8580
"6",1063,790.000000000001,2840,"No","good",2014-08-13,4,2.75,11900,1,3,1640,1200,1961,1961,"98136",47.5271,-122.386,2790,10070
"7",1147,510,1860,"No","average or below",2014-10-29,3,2.5,3658,2,0,1860,0,1994,1994,"98029",47.5703,-122.004,1840,3739
"8",1313,537.249999999999,2590,"No","good",2014-10-30,4,2.5,9530,1,0,1640,950,1978,1978,"98155",47.7752,-122.285,2710,10970
"9",1535,657.5,1620,"No","good",2015-04-20,4,1.75,7560,1,3,1380,240,1947,1947,"98117",47.6981,-122.4,2170,8650
"10",1715,799,3120,"No","average or below",2014-05-16,4,3.25,5000,2,0,2370,750,2005,2005,"98115",47.69,-122.299,2520,6000
"11",1718,360,1180,"No","good",2014-08-25,2,2,3200,1,1,590,590,1945,1945,"98136",47.5275,-122.383,1350,4000
"12",1786,285,2150,"No","good",2014-12-22,4,2.25,8250,1,0,1240,910,1978,1978,"98023",47.3045,-122.378,2050,7875
"13",1840,249,1580,"No","good",2014-08-20,3,1.5,7200,1,0,1080,500,1976,1976,"98092",47.2761,-122.152,1580,7470
"14",1979,815,3488,"No","average or below",2014-05-21,4,2.75,9614,2,0,3488,0,1998,1998,"98074",47.6055,-122.013,3600,10891
"15",2052,272,1790,"No","average or below",2014-07-23,3,2.5,6371,2,0,1790,0,1998,1998,"98092",47.3291,-122.168,1850,6371
"16",2141,1700,2500,"Yes","very_good",2014-10-27,5,2,15250,2,4,2500,0,1942,1942,"98008",47.5883,-122.111,1880,18782
"17",2212,276,1140,"No","average or below",2014-05-26,3,1,5000,1,0,1140,0,1960,1960,"98106",47.5535,-122.362,1140,5000
"18",2262,273,1180,"No","good",2014-10-03,2,0.5,7750,1,0,590,590,1945,1945,"98155",47.769,-122.316,1380,8976
"19",2442,355.95,1960,"No","average or below",2014-12-17,4,2.5,8540,1,0,1220,740,1955,1955,"98177",47.7654,-122.359,1910,9120
"20",2445,3278,6840,"Yes","average or below",2014-12-10,2,1.75,10000,2.5,4,4350,2490,2001,2001,"98008",47.6042,-122.112,3120,12300
"21",2627,4500,6640,"Yes","average or below",2014-08-15,5,5.5,40014,2,4,6350,290,2004,2004,"98155",47.7493,-122.28,3030,23408
"22",2643,190,910,"No","good",2014-07-08,3,1,10575,1,0,910,0,1968,1968,"98003",47.2741,-122.301,1470,10425
"23",2748,726,2970,"No","average or below",2014-07-14,5,3,10335,2,0,2970,0,2000,2000,"98075",47.598,-122.019,2970,10335
"24",2878,195,1180,"No","average or below",2015-02-25,2,2,2553,2,0,1180,0,2005,2005,"98038",47.3501,-122.02,1310,2687
"25",3283,1003,3150,"No","good",2015-03-26,5,2.5,50094,2,0,3150,0,1969,1969,"98005",47.6387,-122.177,3600,48787
"26",3411,390,1150,"No","good",2014-09-10,2,1.75,2723,1,0,770,380,1923,1923,"98102",47.6357,-122.322,1440,4000
"27",3429,297.5,1910,"No","average or below",2014-06-05,4,2.5,5000,2,0,1910,0,2005,2005,"98038",47.3608,-122.036,2020,5000
"28",3545,197,1360,"No","average or below",2015-02-24,4,1,11175,1,0,1360,0,1961,1961,"98188",47.4551,-122.272,1340,9702
"29",3596,630.000000000001,2100,"No","good",2014-11-13,4,2.5,8800,1,2,1240,860,1960,1960,"98008",47.6146,-122.114,2000,8800
"30",3683,430,1990,"No","average or below",2015-02-10,4,2,4740,1,0,1080,910,1926,1926,"98122",47.6112,-122.303,1560,2370
"31",3720,250,1050,"No","average or below",2014-05-06,3,1,6874,1,0,1050,0,1954,1954,"98133",47.762,-122.355,1500,8954
"32",3842,584.999999999999,3000,"No","average or below",2014-05-22,4,1.75,42200,1,3,1500,1500,1950,1950,"98056",47.5265,-122.202,2500,9821
"33",3899,450,1639,"No","average or below",2014-08-21,3,2.5,2710,2,0,1479,160,2003,2003,"98144",47.5924,-122.294,1580,1733
"34",3998,719.999999999999,2530,"No","very_good",2014-08-27,4,1.75,5000,1.5,2,2070,460,1917,1917,"98103",47.6624,-122.348,1950,3600
"35",4148,550.5,2540,"No","average or below",2015-04-27,3,1.75,8280,1,0,1270,1270,1949,1949,"98177",47.7219,-122.358,1950,8280
"36",4189,584.999999999999,1450,"No","average or below",2014-11-03,3,1,5378,1,0,1190,260,1939,1939,"98199",47.6436,-122.405,1810,5559
"37",4219,1875,3280,"Yes","average or below",2014-09-16,3,2.5,29111,2,3,3280,0,1925,1925,"98199",47.6699,-122.416,3530,21074
"38",4252,725.000000000001,2610,"No","average or below",2014-06-25,3,2.5,7510,2,0,2610,0,1996,1996,"98052",47.6648,-122.137,2610,8458
"39",4487,2000,4580,"Yes","average or below",2014-05-24,5,4,4443,3,4,4580,0,2004,2004,"98075",47.5682,-122.059,2710,4443
"40",4532,265,1360,"No","average or below",2015-04-15,3,1,5967,1,0,1360,0,1954,1954,"98178",47.4973,-122.256,1360,6052
"41",4534,390,2360,"No","average or below",2014-08-13,3,2,5737,2,0,2360,0,2003,2003,"98028",47.7633,-122.262,1600,9163
"42",4551,280,1390,"No","average or below",2015-05-07,3,3,1080,2,0,1140,250,2006,2006,"98118",47.5325,-122.282,1450,1461
"43",4589,268,1850,"No","average or below",2014-10-08,3,2.5,6676,2,0,1850,0,1986,1986,"98023",47.3103,-122.36,1700,6663
"44",4774,357.186,1210,"No","average or below",2014-06-16,2,1.75,1040,2,0,1210,0,2014,2014,"98029",47.5519,-121.999,1210,1090
"45",4956,450,2130,"No","average or below",2015-04-14,2,1.75,6574,1,0,1500,630,1946,1946,"98199",47.6529,-122.411,2130,6275
"46",4983,476.9,1240,"No","good",2015-05-06,3,1,5758,1.5,0,960,280,1910,1910,"98116",47.5675,-122.396,1460,5750
"47",5006,430,3220,"No","average or below",2014-05-22,4,3,8936,2,0,2450,770,1990,1990,"98031",47.4208,-122.213,2810,10500
"48",5041,711.8,2410,"No","good",2014-11-26,4,2.25,16650,1,0,2410,0,1965,1965,"98006",47.5706,-122.163,2720,11141
"49",5101,267,1400,"No","average or below",2014-07-08,3,1,8100,1.5,0,1400,0,1944,1944,"98125",47.7124,-122.289,1420,8100
"50",5126,540,2100,"No","average or below",2014-09-15,3,2.25,20018,1,4,1470,630,1948,1948,"98166",47.4544,-122.366,2410,17196
"51",5174,308,2320,"No","average or below",2015-04-10,3,2.5,7140,2,0,2320,0,1990,1990,"98003",47.275,-122.295,2360,7955
"52",5194,678.5,1210,"No","very_good",2015-03-11,3,2.75,3600,1.5,2,1210,0,1910,1910,"98103",47.6798,-122.354,1630,3910
"53",5293,294.95,1240,"No","average or below",2014-07-14,3,1,8840,1,0,1240,0,1952,1952,"98125",47.7277,-122.308,1250,8840
"54",5417,785,3270,"No","average or below",2014-11-07,4,2.5,9578,2,0,3270,0,1993,1993,"98027",47.5373,-122.051,3120,8784
"55",5717,1517,2610,"Yes","good",2014-08-11,3,2.25,9409,1,4,2610,0,1963,1963,"98075",47.5789,-122.076,2970,9156
"56",5771,375,1620,"No","average or below",2015-04-27,4,2,4600,2,0,1620,0,1909,1909,"98108",47.5533,-122.307,1620,4500
"57",5871,345,1140,"No","good",2014-06-23,3,1,4200,2,0,1140,0,1904,1904,"98144",47.6012,-122.296,1510,4000
"58",6008,464.625,2040,"No","good",2014-10-05,4,2.75,8996,1,0,1260,780,1974,1974,"98033",47.666,-122.185,2470,9180
"59",6220,640,4090,"No","good",2015-05-11,4,2.5,215186,2,0,3670,420,1979,1979,"98092",47.2964,-122.116,2430,142005
"60",6279,241,1150,"No","average or below",2014-11-04,3,1,10000,1,0,1000,150,1951,1951,"98178",47.5075,-122.262,1340,10000
"61",6373,850,2980,"No","average or below",2015-04-11,5,4,4500,1.5,0,2070,910,1921,1921,"98115",47.6736,-122.323,1560,4225
"62",6455,490,1840,"No","good",2014-05-09,2,1,3300,1.5,0,1130,710,1910,1910,"98107",47.6757,-122.362,1320,4000
"63",6661,414.999,2150,"No","average or below",2015-03-17,4,2.5,10098,1,0,1090,1060,1963,1963,"98034",47.7166,-122.201,1880,10000
"64",6738,269.95,1400,"No","good",2014-12-19,3,1.75,7735,1,0,1400,0,1989,1989,"98038",47.357,-122.04,1530,7754
"65",6767,350,1010,"No","good",2014-12-01,3,1,7680,1,0,1010,0,1967,1967,"98034",47.732,-122.231,1320,7373
"66",6834,515.055,2400,"No","average or below",2015-05-04,4,2.5,8320,2,0,2400,0,1999,1999,"98045",47.4808,-121.781,2430,9258
"67",7034,365,2200,"No","average or below",2014-08-27,3,2.5,9696,2,0,2200,0,1987,1987,"98031",47.4197,-122.205,2200,9915
"68",7239,325,2200,"No","good",2014-06-18,3,2.75,7000,1,0,1280,920,1977,1977,"98058",47.4574,-122.169,1670,7000
"69",7260,410,1750,"No","average or below",2015-05-01,3,2,2550,1,0,1750,0,1955,1955,"98133",47.7329,-122.343,1370,1533
"70",7367,1150,2170,"Yes","average or below",2014-06-06,3,1.5,16600,1,2,1130,1040,1979,1979,"98052",47.6307,-122.088,3130,13875
"71",7399,695,2620,"No","average or below",2014-07-01,3,2.5,51354,2,0,2620,0,1998,1998,"98077",47.7211,-122.028,2620,37042
"72",7486,350,2440,"No","average or below",2014-05-16,4,2.5,4000,2,0,2440,0,2009,2009,"98038",47.3841,-122.036,2410,4502
"73",7564,562,2795,"No","average or below",2014-06-18,5,3,15101,2,0,2795,0,1996,1996,"98019",47.7301,-121.972,2750,14567
"74",7701,2150,3470,"Yes","average or below",2015-01-05,3,2.75,9610,3,4,3470,0,1989,2000,"98034",47.7205,-122.26,4130,11875
"75",7862,387,1170,"No","average or below",2014-10-21,2,2.5,1394,2,0,1170,0,2001,2001,"98122",47.6131,-122.297,1250,3136
"76",7990,3400,5230,"Yes","average or below",2014-06-23,3,4.5,17826,2,4,3740,1490,2005,2005,"98040",47.5348,-122.243,3670,17826
"77",8113,299.95,1570,"No","average or below",2014-11-18,3,2.5,2577,2,0,1570,0,2005,2005,"98019",47.7456,-121.984,1970,2952
"78",8225,949.950000000001,2340,"Yes","average or below",2015-04-17,5,2.5,1989,2,4,2340,0,1959,1959,"98118",47.5193,-122.257,2200,3230
"79",8288,382,1410,"No","average or below",2014-05-09,3,3.25,1253,3,0,1410,0,2005,2005,"98103",47.6981,-122.34,1410,1253
"80",8367,262.5,1610,"No","good",2014-10-01,3,1.5,10291,1,0,1610,0,1961,1961,"98022",47.2025,-121.999,1410,7729
"81",8425,700,2850,"No","average or below",2015-02-03,3,2.5,36585,2,0,2850,0,1987,1987,"98072",47.7376,-122.102,3340,35671
"82",8451,425,3610,"Yes","average or below",2015-03-13,3,2.75,107386,1.5,3,3130,480,1918,1962,"98023",47.3351,-122.362,2630,42126
"83",8634,315,860,"No","average or below",2014-12-12,2,1,8308,1,0,860,0,1948,1948,"98146",47.508,-122.378,1200,8308
"84",8923,275,2497,"No","average or below",2014-07-25,3,2.5,4400,2,0,2497,0,2007,2007,"98001",47.2873,-122.283,2434,4400
"85",8979,1075,1550,"Yes","average or below",2015-05-07,2,3.25,1767,3,3,1550,0,2006,2006,"98075",47.5684,-122.06,2710,3444
"86",9012,859.999999999999,2510,"No","very_good",2014-08-19,5,1.75,6000,1.5,0,2010,500,1920,1920,"98144",47.5798,-122.292,2240,5000
"87",9212,850,3260,"No","good",2014-09-18,3,2.5,91911,2,0,3260,0,1984,1984,"98077",47.737,-122.074,2520,65775
"88",9318,440,2240,"No","average or below",2014-06-09,3,1.75,8153,1,0,1120,1120,1948,1948,"98125",47.7303,-122.329,1710,8100
"89",9514,404,1840,"No","average or below",2014-05-06,4,1.75,10720,1,0,960,880,1958,1958,"98008",47.6074,-122.125,1840,9044
"90",9517,265,1020,"No","very_good",2014-07-03,3,1,8610,1,0,1020,0,1959,1959,"98056",47.4974,-122.169,1070,5940
"91",9863,360,2390,"No","average or below",2014-12-24,4,2.5,7056,2,0,2390,0,1990,1990,"98001",47.3385,-122.264,2590,7801
"92",9910,563,1410,"No","very_good",2014-07-01,4,1,3376,1.5,0,1410,0,1911,1911,"98107",47.6606,-122.365,1040,3600
"93",10114,289.659,2260,"No","good",2014-06-26,4,2.25,7200,2,0,2260,0,1984,1984,"98031",47.4121,-122.183,1720,7200
"94",10184,419.99,1690,"No","average or below",2014-08-21,3,2.5,1689,2,0,1150,540,2014,2014,"98029",47.5528,-121.999,1540,1689
"95",10205,654.950000000001,2790,"No","average or below",2014-06-03,4,2.5,45902,2,0,2790,0,1987,1987,"98077",47.7674,-122.086,2890,42421
"96",10264,2700,4230,"Yes","average or below",2014-08-13,5,4,27295,2,4,3230,1000,1949,1985,"98033",47.6803,-122.214,2660,27295
"97",10321,365,1760,"No","average or below",2015-02-20,4,1,8906,1,0,1230,530,1966,1966,"98055",47.4288,-122.198,1180,10407
"98",10438,350,2180,"No","average or below",2014-10-27,3,2.5,15484,1,0,2180,0,1992,1992,"98003",47.2688,-122.309,2090,10775
"99",10479,213,750,"No","average or below",2014-10-03,2,1,6089,1,2,750,0,1937,1937,"98055",47.475,-122.199,1430,6451
"100",10484,250,1040,"No","good",2015-01-14,3,1,8000,1,0,1040,0,1956,1956,"98166",47.4711,-122.35,1170,9450
"101",10495,550,1810,"No","average or below",2014-06-02,3,2,4064,1.5,0,1810,0,1925,1925,"98103",47.6859,-122.339,1518,2945
"102",10561,343.888,2060,"No","average or below",2014-08-15,4,2.5,5607,2,0,2060,0,2002,2002,"98058",47.4365,-122.144,2060,5367
"103",10761,470,2480,"No","average or below",2015-03-09,3,2.5,5082,2,0,2480,0,2004,2004,"98065",47.5297,-121.846,2480,5874
"104",10968,282,2420,"No","good",2014-09-17,3,2.25,7548,1,0,1370,1050,1967,1967,"98023",47.3112,-122.376,2150,8000
"105",11139,825.000000000001,2520,"No","good",2014-11-03,3,2.25,7975,2,0,1550,970,1990,1990,"98033",47.6704,-122.183,2520,9900
"106",11153,535,1690,"No","average or below",2014-06-02,3,2.5,9626,2,0,1690,0,1984,1984,"98027",47.5647,-122.092,1860,8958
"107",11176,272,1800,"No","average or below",2015-04-15,4,2.25,9018,2,0,1800,0,1992,1992,"98022",47.2126,-121.984,1670,9380
"108",11247,300,2620,"No","average or below",2014-06-23,4,2.5,4469,2,0,2620,0,2008,2008,"98042",47.3663,-122.115,2250,4500
"109",11393,443,1860,"No","average or below",2014-07-16,4,1.5,12197,1,0,1860,0,1964,1964,"98034",47.729,-122.235,1510,11761
"110",11479,419,1880,"No","average or below",2015-04-12,4,2.25,9727,1,0,1100,780,1979,1979,"98028",47.7731,-122.257,1790,10274
"111",11632,1250,2960,"No","good",2014-10-22,5,2.75,28300,1,3,2160,800,1959,1959,"98177",47.7606,-122.37,2940,23250
"112",11717,319.95,1700,"No","average or below",2015-03-02,3,2.5,7000,2,0,1700,0,1996,1996,"98038",47.3798,-122.025,1950,7000
"113",11828,370,750,"No","average or below",2015-04-29,2,1,2020,1,0,750,0,1908,1995,"98122",47.6175,-122.301,1630,2383
"114",11845,770.000000000001,2050,"Yes","good",2015-02-18,3,3.5,21744,2,4,1750,300,1930,1930,"98166",47.4536,-122.376,2300,12200
"115",11873,332.5,1800,"No","average or below",2014-05-21,3,2.25,10500,2,0,1800,0,1995,1995,"98038",47.3879,-122.032,1870,8555
"116",12273,432.5,1500,"No","very_good",2015-02-09,4,1.75,1856,1,0,750,750,1901,1901,"98144",47.5917,-122.296,1220,1739
"117",12406,239,1470,"No","average or below",2014-11-13,2,2,2052,1.5,0,1470,0,1986,1986,"98003",47.3086,-122.328,1470,2052
"118",12653,370,2490,"No","average or below",2014-08-28,3,2.5,4244,2,0,2490,0,2005,2005,"98042",47.3705,-122.131,2490,4748
"119",12677,627.5,2540,"No","good",2015-04-14,4,2.5,11500,1,0,1640,900,1979,1979,"98006",47.5609,-122.15,2820,9800
"120",12885,1610,4270,"No","average or below",2014-11-26,4,2.75,25807,2,0,4270,0,1996,1996,"98004",47.5951,-122.206,3860,20723
"121",12922,539,1460,"No","average or below",2015-01-20,3,1.5,5040,1,0,1100,360,1971,1971,"98133",47.7112,-122.357,2330,7560
"122",13003,1135,3370,"No","average or below",2014-09-03,4,2.5,10602,2,0,3370,0,1999,1999,"98007",47.6591,-122.147,2950,9949
"123",13117,600,4300,"No","average or below",2014-11-10,4,3.5,70407,2,0,2710,1590,1992,1992,"98058",47.4472,-122.092,3520,26727
"124",13472,745,3490,"No","average or below",2014-06-10,4,3.25,7024,2,0,3490,0,2006,2006,"98075",47.5834,-121.972,3450,6866
"125",13501,372,1710,"No","average or below",2014-10-28,3,2.5,5633,2,0,1710,0,1981,1981,"98034",47.7232,-122.161,1540,5000
"126",13615,310,2440,"No","average or below",2014-09-04,4,2.5,7093,2,0,2440,0,1999,1999,"98030",47.3817,-122.204,1860,6072
"127",13647,418.5,1800,"No","average or below",2015-04-13,3,2,12440,1,0,1220,580,1978,1978,"98074",47.6254,-122.05,2460,12352
"128",13717,180,1010,"No","good",2014-12-12,3,1,8863,1,0,1010,0,1990,1990,"98022",47.1955,-121.999,1090,8410
"129",13724,440,2070,"No","good",2014-07-23,3,2.75,9697,2,0,1330,740,1929,1929,"98188",47.4327,-122.283,2000,14436
"130",13774,364,1420,"No","average or below",2015-02-26,3,2.25,6600,1,0,1160,260,1987,1987,"98028",47.77,-122.265,1920,7902
"131",13892,374,1200,"No","good",2014-05-30,3,1,9800,1,0,1200,0,1971,1971,"98072",47.7412,-122.109,1220,10220
"132",14033,1680,7620,"No","average or below",2014-11-25,4,3.75,29536,2,3,5980,1640,2005,2005,"98006",47.5571,-122.14,2840,20809
"133",14409,305,2160,"No","average or below",2014-07-02,2,1,12960,1,0,1360,800,1968,1968,"98168",47.4702,-122.261,2070,12960
"134",14472,600,1550,"Yes","good",2014-08-22,2,1.75,7764,1,4,1550,0,1965,1986,"98070",47.358,-122.446,1690,11620
"135",14526,105,880,"No","good",2015-03-17,3,1,18109,1,0,880,0,1970,1970,"98042",47.3634,-122.101,940,11193
"136",14533,443,1920,"No","good",2014-07-09,3,2.25,8223,2,0,1920,0,1989,1989,"98011",47.735,-122.201,1940,7274
"137",14620,2230,3620,"Yes","very_good",2014-07-25,3,3,28064,2,4,2370,1250,1977,1977,"98136",47.5516,-122.398,2550,34713
"138",14624,564.8,1990,"No","average or below",2014-10-08,3,2.25,8501,2,0,1990,0,1991,1991,"98029",47.5707,-121.996,2090,6459
"139",14653,760,3600,"No","average or below",2015-01-23,4,2.5,155509,2,0,3600,0,2004,2004,"98010",47.3538,-121.986,3410,34412
"140",15049,475,1850,"No","good",2015-04-09,3,1.75,26445,1,0,1850,0,1962,1977,"98010",47.3412,-122.051,2110,23280
"141",15136,1770,2580,"No","good",2015-03-04,3,2.5,14603,1,2,2580,0,1951,1951,"98004",47.6199,-122.212,2410,14347
"142",15149,352.5,1410,"No","average or below",2014-05-18,3,2.25,14110,1,2,1170,240,1987,1987,"98065",47.5336,-121.76,1560,18336
"143",15153,2152.5,3840,"No","good",2015-03-18,4,3.25,6214,1.5,3,2590,1250,1939,1939,"98199",47.6388,-122.406,3280,5915
"144",15170,616.2,3920,"No","average or below",2014-09-10,5,3.25,4832,2,0,3030,890,2014,2014,"98065",47.5202,-121.885,2660,4832
"145",15256,3640.9,4830,"Yes","good",2014-09-11,4,3.25,22257,2,4,4830,0,1990,1990,"98039",47.6409,-122.241,3820,25582
"146",15372,658,1010,"Yes","average or below",2015-01-14,2,1,14244,1,4,1010,0,1926,1926,"98136",47.5476,-122.399,1820,15792
"147",15430,320,1490,"No","good",2015-03-16,3,1.5,10132,1,0,1490,0,1969,1969,"98059",47.4779,-122.145,1720,9915
"148",15452,526,2220,"No","average or below",2014-07-18,4,1.75,6350,1,0,1110,1110,1959,1959,"98125",47.7136,-122.29,1950,8100
"149",15458,365,820,"No","average or below",2015-03-02,2,1.5,1270,2,0,820,0,2009,2009,"98144",47.5925,-122.295,1130,1201
"150",15513,1800,4320,"Yes","average or below",2014-12-09,5,3.75,39094,2,4,4320,0,1938,1938,"98155",47.7519,-122.276,1920,7750
"151",15881,435,1230,"No","average or below",2014-06-17,2,1,3800,1,0,1230,0,1928,1928,"98115",47.6797,-122.292,1610,3800
"152",16018,640,2970,"No","average or below",2014-09-24,4,2.5,34981,2,0,2970,0,1998,1998,"98077",47.7365,-122.037,3170,30277
"153",16276,270,1920,"No","average or below",2014-06-02,4,2.5,8497,2,0,1920,0,1998,1998,"98092",47.2608,-122.209,1940,8436
"154",16358,742.5,2020,"No","average or below",2015-05-07,2,3,5000,1,0,1350,670,1952,1952,"98117",47.6758,-122.375,1160,1118
"155",16385,250,890,"No","average or below",2014-10-15,2,1,6380,1,0,890,0,1951,1951,"98115",47.691,-122.303,990,6380
"156",16667,795,2890,"No","average or below",2014-10-15,4,2.75,16397,2,0,2890,0,1997,1997,"98077",47.7102,-122.072,3170,16397
"157",16771,770.000000000001,3680,"No","average or below",2014-07-17,3,2.5,35617,1,0,2390,1290,1985,1985,"98052",47.7213,-122.12,3570,35633
"158",16950,191,700,"No","very_good",2015-03-19,2,1,5000,1,0,700,0,1952,1952,"98056",47.4927,-122.172,1040,5200
"159",17087,268.5,2100,"No","average or below",2014-06-05,4,2.5,4237,2,0,2100,0,2006,2006,"98031",47.3901,-122.174,2100,4575
"160",17265,255,1550,"No","average or below",2014-07-08,3,1.75,9720,1,0,1050,500,1976,1976,"98010",47.3433,-122.037,1550,9750
"161",17304,317,1060,"No","average or below",2015-01-05,3,1.5,5750,1,0,1060,0,1981,1981,"98126",47.5532,-122.372,1060,5750
"162",17313,1735,4310,"No","very_good",2014-06-13,3,2.5,32093,1.5,4,2510,1800,1982,1982,"98177",47.7624,-122.38,3810,26400
"163",17316,244,1450,"No","average or below",2014-05-23,4,1,8960,1,0,1450,0,1943,1943,"98146",47.4972,-122.348,1160,7680
"164",17319,489,1810,"No","average or below",2014-08-26,2,1.75,4220,2,0,1810,0,2004,2004,"98053",47.7177,-122.034,1350,4479
"165",17354,918.999999999999,3620,"No","average or below",2015-01-16,4,2.5,17133,1,4,2220,1400,1993,1993,"98075",47.5604,-122.027,3530,17026
"166",17658,820,2990,"Yes","average or below",2014-10-30,3,2.5,10711,1,4,1560,1430,1976,1991,"98198",47.3573,-122.324,2870,11476
"167",17917,675.000000000001,2260,"No","average or below",2014-07-17,3,2.25,13209,1,0,2260,0,1977,1977,"98005",47.6385,-122.167,2820,12534
"168",17941,610,2110,"No","average or below",2015-03-09,4,2.5,6360,2,0,2110,0,1988,1988,"98029",47.5641,-122.012,2050,7000
"169",18074,915.557,3740,"No","good",2015-03-16,5,3.25,11536,2,0,2540,1200,1984,1984,"98006",47.5599,-122.108,2920,11258
"170",18276,285,1060,"Yes","average or below",2014-11-17,1,1,54846,1,4,1060,0,1935,1935,"98070",47.4716,-122.445,2258,31762
"171",18287,556,2020,"No","average or below",2014-05-21,3,2.25,3600,2,0,2020,0,1998,1998,"98033",47.6678,-122.165,2070,3699
"172",18342,451,2830,"No","average or below",2014-06-26,5,2.75,8925,1.5,0,2830,0,1967,1967,"98034",47.731,-122.179,1700,8539
"173",18519,319,960,"No","average or below",2014-09-25,3,1,8556,1,0,960,0,1971,1971,"98034",47.7245,-122.22,1320,7528
"174",18674,475,2680,"No","average or below",2014-12-08,3,2.5,87117,1,0,1340,1340,1989,1989,"98024",47.5646,-121.935,2580,87117
"175",18792,1700,2810,"Yes","good",2014-06-23,3,2.75,18731,2,4,2810,0,1974,1974,"98052",47.6361,-122.093,3120,14810
"176",18829,1675,3490,"Yes","good",2014-07-08,3,2.5,8343,2,4,2150,1340,1939,1991,"98125",47.7265,-122.281,2990,13104
"177",18831,400,2530,"No","average or below",2014-06-10,4,2.5,7563,1,0,1440,1090,1978,1978,"98011",47.7762,-122.21,1960,7811
"178",18923,410,1760,"No","average or below",2014-08-24,3,1.75,3520,1,0,1160,600,1966,1966,"98144",47.5773,-122.303,1840,5000
"179",19031,482,1300,"No","average or below",2015-04-08,2,1.5,1229,2,0,1160,140,2000,2000,"98107",47.6727,-122.375,1430,1255
"180",19096,665,1650,"No","good",2014-12-11,3,1,5102,1,0,1300,350,1953,1953,"98199",47.6524,-122.404,1440,5102
"181",19180,475,1970,"No","average or below",2014-11-18,4,2.25,7532,1,0,1390,580,1983,1983,"98052",47.7219,-122.109,1970,8248
"182",19181,325,2180,"No","good",2014-05-30,3,1.75,10230,1,0,1090,1090,1961,1961,"98118",47.5158,-122.281,2130,7200
"183",19353,390,2570,"No","very_good",2014-09-26,4,2.5,22215,2,0,2570,0,1958,1958,"98059",47.4833,-122.157,2460,6533
"184",19438,289.95,1500,"No","average or below",2014-08-01,4,1.75,8400,1,0,1200,300,1956,1956,"98188",47.4531,-122.273,1780,9913
"185",19447,1900,5080,"No","average or below",2014-12-16,4,3.25,27755,2,0,5080,0,2001,2001,"98006",47.5423,-122.111,4730,22326
"186",19455,780.000000000001,3000,"No","average or below",2014-09-22,2,3.25,24004,1,0,2410,590,1952,1952,"98005",47.611,-122.157,4270,24506
"187",19485,2395,3800,"No","average or below",2014-08-13,4,3.25,19798,2,0,3800,0,1969,2009,"98006",47.5684,-122.19,3940,18975
"188",19646,425,1620,"No","average or below",2014-09-18,3,2.25,997,2.5,0,1540,80,2010,2010,"98027",47.54,-122.026,1620,1068
"189",19778,2641.1,4660,"No","average or below",2015-02-12,5,4.25,16200,2,2,4660,0,2005,2005,"98004",47.6326,-122.216,3340,16200
"190",20057,539,1280,"No","average or below",2015-04-25,3,2.25,1187,2,0,1080,200,2008,2008,"98107",47.6651,-122.368,1280,1681
"191",20234,2150,5060,"No","average or below",2014-05-22,4,5.5,10320,2,0,5060,0,2008,2008,"98004",47.6245,-122.21,3010,10080
"192",20768,2300,4360,"Yes","average or below",2015-04-17,4,4,8175,2.5,4,3940,420,2007,2007,"98008",47.5724,-122.104,2670,8525
"193",20819,1250,3460,"No","average or below",2014-07-10,3,3,5353,2,0,2850,610,2007,2007,"98116",47.5858,-122.393,2460,6325
"194",21068,300,1330,"No","average or below",2014-08-06,3,2.5,1200,3,0,1330,0,2002,2002,"98133",47.7034,-122.344,1330,1206
"195",21198,477,2100,"No","average or below",2014-08-25,3,2.5,5060,2,0,2100,0,2006,2006,"98108",47.563,-122.298,1520,2468
"196",21274,775,3020,"No","average or below",2015-03-09,3,2.5,4120,2,0,2360,660,2008,2008,"98126",47.5714,-122.373,2280,4120
"197",21308,331,1240,"No","average or below",2015-02-20,2,2.25,720,2,0,1150,90,2008,2008,"98027",47.5322,-122.072,1260,810
"198",21493,400,1910,"No","average or below",2015-04-17,3,2.5,4408,3,0,1910,0,2007,2007,"98133",47.7634,-122.35,1910,8154
"199",21529,584.999999999999,1750,"No","average or below",2015-02-17,3,2.5,1381,3,0,1750,0,2008,2008,"98122",47.6021,-122.294,1940,4800
"200",21536,332,2380,"No","average or below",2014-10-15,4,2.5,5737,2,0,2380,0,2010,2010,"98023",47.2815,-122.356,2380,5396
